id	label
tu3g4ZBt3o0_000030	typing on typewriter
4JTxc-TKxPo_000092	people chewing
6gAQiZDRvXI_000011	magpie calling
4IJCSuJoo9o_000002	shuffling cards
LTD5rh_DOTY_000260	owl hooting
4tHvsHkl8L0_000027	snake hissing
Dr0Crzj0f4I_000141	snake rattling
vmQcsFtmxG8_000000	people hiccuping
126AbihZt28_000009	horse clip-clop
CDABuTQLNe8_000140	opening or closing drawer
v3nzRrcUBZk_000052	train wheels squealing
BfbrxdAWlWs_000030	church bell ringing
ACjLm_tKyu8_000060	electric grinder grinding
tm0Em1IlvsA_000318	people eating apple
n-tBbgUkFxo_000021	woodpecker pecking
SqEWh1M2SIc_000030	ice cream truck
QDfyTkOWfyM_000236	dinosaurs bellowing
9QwaP-cvdeU_000360	skateboarding
9PmzQI8ZYpg_000030	sewing machine
vnvMxxgYlgo_000200	playing piano
Rz7RBslEAG0_000030	playing accordion
AAHybONa3n4_000150	dinosaurs bellowing
VFXf1DTi2IA_000383	electric shaver
VjR_I34Vczk_000010	playing steel guitar
RhsXiHgKzyY_000023	gibbon howling
ddySWSpptVo_000122	wood thrush calling
6dwkWDQSjkA_000057	francolin calling
jbffNajOX7M_000019	chimpanzee pant-hooting
bsi2kUrwjf8_000030	playing electric guitar
kC34iOvwo40_000293	playing tympani
IJ0jeaVklt8_000016	playing snare drum
Idf-WCbVe_U_000011	people booing
aKiYt30HO0k_000004	pheasant crowing
HDvPMEU33HM_000089	people cheering
PzS_cNwa4xM_000000	bird wings flapping
QOEFVFFrv_Q_000077	elk bugling
_BoK6vI1wWA_000035	air horn
pp4xXyiezA8_000020	people sobbing
ub4VKXpuZds_000030	car engine starting
Ns9Zf0DrFlk_000212	cat caterwauling
1uCzQCdCC1U_000170	auto racing
jYgUTPUi28Y_000201	dinosaurs bellowing
S0sPNaWcdrs_000043	playing bongos
hIazzIF19gY_000110	splashing water
MVLEz28ZdFU_000010	people coughing
8OXOwCahOOU_000089	playing ukulele
0HBJuYt2Eys_000032	disc scratching
26dqZUTv5os_000175	forging swords
4mCpxmwhci4_000049	cat caterwauling
aE-_vO4AagE_000070	toilet flushing
onEBRYQ_Xew_000095	hedge trimmer running
pRm4t8VZxKw_000208	cuckoo bird calling
0T966F09Q_8_000000	playing oboe
1MaEJRh2oGY_000089	cheetah chirruping
VSxoWInFsIA_000030	owl screeching
xNoaAN29jXQ_000351	hedge trimmer running
09NfjFeq2cs_000078	francolin calling
aAnCOKxPgaA_000140	machine gun shooting
qNj8RLCaoL4_000446	disc scratching
k211h3tMeGQ_000060	cat caterwauling
7PK3nvCihMk_000011	bull bellowing
TNCJ68vFKg8_000120	people laughing
Y5t8KSDEeOs_000000	electric window closing
mhQGbJQlVns_000002	baby crying
CHxOPxrzSfQ_000214	warbler chirping
L3FlG2uJgY8_000250	playing acoustic guitar
3S-yoXKDvE4_000025	barn swallow calling
HOTIBJemUB8_000087	playing bongo
ENX0totqysA_000030	playing piano
WCC01d0hcBQ_000024	dinosaurs bellowing
K8On7nUJuP8_000030	baby crying
W1imZelV1h4_000017	pheasant crowing
9RNNZ3e-9IA_000028	dog barking
D1tl1eS7ubI_000000	woman speaking
DZFP5hm7iKg_000161	playing djembe
CxSALNdzjKs_000125	blowtorch igniting
bE2g05K-B94_000049	cow lowing
WMXkrLwPVCU_000098	cheetah chirrup
rM0mOUPtSpU_000060	people sneezing
9h3a7fN0f-c_000240	people coughing
CUJ1MnvyKOw_000040	lion roaring
6uB3h15H90k_000102	air conditioning noise
1vy-ZxTMQf4_000377	people marching
UWz5OIijWM4_000030	driving motorcycle
3ClbaJYWVO4_000030	playing electric guitar
2ACsPTob5cY_000349	snake rattling
Qovva-Q5vmM_000216	disc scratching
5NyjOIjRKKM_000018	dog barking
YsX-dUhC-_4_000000	people hiccup
5xVe-bGbbYA_000045	playing erhu
rkQr7lgIjpY_000179	alarm clock ringing
QxWre8D5a8c_000155	man speaking
Sem8fMv0bKQ_000212	people slurping
8F8RrwXoa68_000028	rocket launching
3mDPQ_CPopw_000030	engine accelerating
5faEEBTatTg_000004	wood thrush calling
NaGTvAwqJVc_000080	train running
6b-072VA4UA_000022	goat bleating
zayC5mUo7sY_000100	playing drum kit
nU7x170OvJ4_000030	playing steel guitar
0IzhjqyDzt8_000000	church bell ringing
RCfTxRhPoNE_000071	barn swallow calling
KWxQKX94CL4_000085	owl hooting
D2ISzNuhtxE_000009	cat caterwauling
GmnVEP2AlQI_000102	playing djembe
ig59gOwKj0k_000105	popping popcorn
MNN2LtdpPc0_000170	waterfall burbling
3NGZcpAZcl0_000030	pigeon cooing
AkAdDFHQars_000030	fire truck siren
HZRJxOXw2os_000207	people marching
DUNOn71oGCw_000040	tapping guitar
-5CGQGSFGyg_000060	playing electronic organ
799dPLm5vs4_000002	pheasant crowing
fbJxpi7W9ds_000130	playing accordion
NEUZUB2K1aI_000078	sea lion barking
MpWGx5odhh8_000160	playing banjo
MON5q_Vvgx8_000062	fox barking
6vl7eSBL-ag_000090	church bell ringing
16CvcIXIjzQ_000332	chinchilla barking
5HQ0rDexH84_000184	people humming
aSJKZRwMsxE_000050	female singing
BEGgDbKEXMw_000028	dog howling
0NLXz4JgvcQ_000096	people eating crisps
jtRq_vXe9uQ_000246	lathe spinning
jTuNUZEFBJk_000100	orchestra
QyvAU6kcHBw_000083	cow lowing
nlYlNF30bVg_000030	people screaming
I-DxUDHO_5Q_000275	woman singing
eeZ8P9lmQ6U_000048	magpie calling
kWPAWeNuBKc_000506	wood turning
_1TjLs6_Geo_000013	playing glockenspiel
Vb5-6-BQzlI_000502	elephant trumpeting
v_oFiTzjGN8_000010	skidding
JcMSFU-Twgw_000030	playing banjo
Fz-dxPOWP58_000038	baby crying
amHGECYhLoY_000055	electric razor shaving
